aifid,inscriptions
0056ri-al001-076-077_DS02,رياض شحاتة
0056ri-al001-078-079_DS01,
0056ri-al001-078-079_DS02,
0056ri-al001-080-081_DS01,
0056ri-al001-080-081_DS02,
0056ri-al001-082-083_DS01,
0056ri-al001-082-083_DS02,
0056ri-al001-084-085_DS01,
0056ri-al001-084-085_DS02,
0056ri-al001-086-087_DS01,
0056ri-al001-088-089_DS01,رياض شحاتة مصور جلالة الملك
0056ri-al001-090_DS01,
0069fa-al001-001_DS01,[unclear Arabic/Farsi? inscription] 
0069fa-al001-002_DS01,
0069fa-al001-003_DS01,
0069fa-al001-004_DS01,
0069fa-al001-005_DS01,
0069fa-al002-001_DS01,
0069fa-al002-002-003_DS01,
0069fa-al002-002-003_DS02,"[stamped on the verso] إستديو افو. بيروت شارع سوريا بناية درويش. Rue de Syrie Imm. Darwich Beyrouth, STUDIO AVO
[Armenian inscription written in black ink on the verso]
Vache [signed on the negative] [Armenian inscription written in black ink on the verso] 43771 [written with pencil on the verso] 
2118 [Armenian inscription] 31.5.1953 [written in black ink on the verso]
Antoine Dakouny [signed on the recto]
[stamped on the verso] إستديو افو. بيروت شارع سوريا بناية درويش. Rue de Syrie Imm. Darwich Beyrouth, STUDIO AVO 
Vache [signed on the negative] 15345 [written with pencil on the verso]
[...] GULBENK av. des Français, 23 SEP 1950 [stamped on the verso]
[Armenian inscription] 31.5.1953 [written in black ink on the verso]
-
Koko [signed on the negative]
STUDIO VARTAN Beyrouth [stamped on the verso]"
0069fa-al002-004-005_DS01,
0069fa-al002-004-005_DS02,"[Armenian inscription] 13.11.1950 [written in black ink on the verso]
[Armenian inscription] 8/25/1952 [written in black ink on the verso]
[Armenian inscription] 25-8-1953 [written in black ink on the verso]"
0069fa-al002-006-007_DS01,
0069fa-al002-006-007_DS02,"[Armenian inscription] 8/25/1952 [written in black ink on the verso]
[Armenian inscription] 13/11/1950 [written in black ink on the verso]"
0069fa-al002-008-009_DS01,
0069fa-al002-008-009_DS02,"[Armenian inscription] 30-3-37 [written in black ink on the verso]
PHOTO GARBIS AVENUE DES FRANÇAIS BEYROUTH [stamped on the verso]
[stamped on the verso] إستديو افو. بيروت شارع سوريا بناية درويش. Rue de Syrie Imm. Darwich Beyrouth, STUDIO AVO "
0069fa-al002-010-011_DS01,
0069fa-al002-010-011_DS02,"PHOTO CONTAX BOURDJ-HAMOUD BEYROUTH, A.KALOUSTIAN [stamped on the verso]"
0069fa-al002-012-013_DS01,
0069fa-al002-012-013_DS02,[stamped on the verso] ستديو لبنان، بيروت، ساحة الشهداء، Beyrouth STUDIO LIBAN
0069fa-al002-014-015_DS01,
0069fa-al002-014-015_DS02,"[stamped on the verso] فوتو سارو، بكفيا - بيروت PHOTO SARO, Bikfaya - Beyrouth
[stamped on the verso] فوتو برودواي، شارع بشارة الخوري، PHOTO BROADWAY, PHOTO COLOR, RUE BECHARA KHOURY
PHOTO INSTANTA en FACE de l'EGLISE des CAPUCINS, BAB-IDRISS BEYROUTH [stamped on the verso]"
0069fa-al002-016-017_DS01,
0069fa-al002-016-017_DS02,"Vache [signed on the negative] No 18813 [stamped on the verso]
[stamped on the verso] فوتو ريو Rue Patriarche Hoyek - 92 imm. TRAD, BAB -  EDRISS BEYROUTH - LIBAN PHOTO RAYON
TEL. 24-88 Mr ADNEN ZAZOUK [written with pencil on the verso]
[Armenian inscription written with pencil on the verso]"
0069fa-al002-018-019_DS01,
0069fa-al002-018-019_DS02,"[Armenian inscription written with pencil on the verso]
PHOTO INSTANTA en FACE de l'EGLISE des CAPUCINS, BAB-IDRISS BEYROUTH [stamped on the verso]"
0069fa-al002-020-021_DS01,
0069fa-al002-020-021_DS02,"[stamped on the verso] فوتو نوبار، ١٧ جادة الفرنسين - بيروت [لبنان]  PHOTO NUBAR, 17 AVENUE DES FRANÇAIS, 17 BEYROUTH - LIBAN
[Armenian inscription written with pencil on the verso]
[stamped on the verso] فوتو سارو، بكفيا - بيروت PHOTO SARO, Bikfaya - Beyrouth"
0069fa-al002-022-023_DS01,
0069fa-al002-022-023_DS02,"TATEOS [signed on the negative] 
[Armenian inscription written in blue ink on the verso]
[faded Armenian inscription on the verso]
Mr Armenak Balio, Maraliki Chaussé 4ème Rue No 16, Leninakan Arménie [...] [written with pencil on the verso]"
0069fa-al002-024-025_DS01,
0069fa-al002-024-025_DS02,"[Armenian inscription written in black on the verso] 13/11/1950
koko Beyrouth [signed on the negative]"
0069fa-al002-026-027_DS01,
0069fa-al002-026-027_DS02,PHOTO H.Haroutiunian ALEX [...] [stamped on the verso]
0069fa-al002-028-029_DS01,
0069fa-al002-028-029_DS02,"DEROUNIAN FRÈRES, SERVICE DE PHOTO 26, RUE DES CAPUCINS [stamped on the verso]
1945 [Armenian inscription written with pencil on the verso]
PHOTO FERAL B.P. 1283 BEYROUTH [stamped on the verso]
1947 [Armenian inscription written with pencil on the verso]
Photo HAGOP Beyrouth [stamped on the verso]
28/3/47 [written with black ink on the verso]"
0069fa-al002-030-031_DS01,
0069fa-al002-030-031_DS02,"[Me] noubar [...] Rue Hamidiee Noutique, Alexandrette Hatay [written with pencil on the verso]
[Me] chefeur panos Balian, garage central, Alep syrie
[Armenian inscription written with pencil on the verso]
TIRAGES PHOTO LÉOPOLD ALEP [stamped on the verso] 
[faded Armenian inscription written with blue ink on the verso] Monsieur Vidal Chef D'atelier P.R.R.E.M.S.P.[...] [written with pencil on the verso [faded stamp on the verso]
[faded Armenian inscription written with blue ink on the verso] Monsieur udjen artin % Hagop Kessaplian, Beylan Hatay [written in blue ink on the verso [faded stamp on the verso]
[Armenian inscription written in black ink on the verso] 28.1938
Albert Youssef Bich [written with blue ink on the verso]"
0069fa-al002-032-033_DS01,
0069fa-al002-032-033_DS02,
0069fa-al002-034-035_DS01,
0069fa-al002-034-035_DS02,
0069fa-al002-036-037_DS01,
0069fa-al002-036-037_DS02,
0069fa-al002-038-039_DS01,
0069fa-al002-038-039_DS02,
0069fa-al002-040-041_DS01,
0069fa-al002-040-041_DS02,
0069fa-al002-042-043_DS01,
0069fa-al002-044_DS01,
0069fa-al003-001_DS01,
0069fa-al003-002-003_DS01,
0069fa-al003-004-005_DS01,
0069fa-al003-006-007_DS01,
0069fa-al003-008-009_DS01,
0069fa-al003-010-011_DS01,
0069fa-al003-012-013_DS01,
0069fa-al003-014-015_DS01,
0069fa-al003-016-017_DS01,
0069fa-al003-018-019_DS01,
0069fa-al003-020-021_DS01,
0069fa-al003-022_DS01,
0069fa-al004-001_DS01,"Mes Souvernirs. INSTANTANES RECUEILLIS ET ARRANGES PAR. ALBUM N=5 1929-1931. SAHAG M.MANOUKIAN. [written with black and red ink on cardboard, sticked on the cover]"
0069fa-al004-002-003_DS01,Alexandrie.- le 9 Octobre 1929. Illuminations à l'occasion de l'anniversaire DE S.M.Fouad Ier. [written with red ink typewriter on cardboard and adhered on the album page]
0069fa-al004-004-005_DS01,"A Chios.- Ier Août 1930. Des connaissances à mon père. [written with red ink typewriter on cardboard and adhered on the album page]
A Corfou.- 2 Août 1930. Vue génerale de l'Ile. [written with red ink typewriter on cardboard and adhered on the album page]
Au Pirée.- 3 Août 1930. Le port. [written with red ink typewriter on cardboard and adhered on the album page]
A Athènes.- 3 Août 1930. Mon père et des compagnons de voyage visitant les antiquitées. [written with red ink typewriter on cardboard and adhered on the album page]
Balcon du bureau.- 12 Janvier 1930. Bartholomé et Domenico. [written with red ink typewriter on cardboard and adhered on the album page]
Camp des César.- 21 Janvier 1930. Durant la construction. Mon père, l'architecte & des ouvriers. [written with red ink typewriter on cardboard and adhered on the album page]
Camp des César.- 21 Janvier 1930. Durant la construction du 3e & 4e étages de notre immeuble, 24b. Rue Thèbes. [written with red ink typewriter on cardboard and adhered on the album page]"
0069fa-al004-006-007_DS01,"Ibrahimieh.- 23 Janvier 1930. Peggy, Suzy, & moi.[written with red ink typewriter on cardboard and adhered on the album page]
Ibrahimieh.- 23 Janvier 1930. Peggy, Garo et Suzy. [written with red ink typewriter on cardboard and adhered on the album page]
A Camp César.- 26 Janv.1930 Suzy et Peggy. [written with red ink typewriter on cardboard and adhered on the album page]
A Aix-Les-Bains-4 Sept.1930. Mr.L. Iyendjian & mon père. [written with red ink typewriter on cardboard and adhered on the album page]
A Aix-Les-Bains-4 Sept.1930. Mon père. [written with red ink typewriter on cardboard and adhered on the album page]
A Aix-Les-Bains-4 Sept.1930. Mr.L.Iynedjian & son fils. [written with red ink typewriter on cardboard and adhered on the album page]

"
0069fa-al004-008-009_DS01,"A Paris.- 27 Septembre 1930. Université Arménienne Mme. Nubar Pacha [written with red ink typewriter on cardboard and adhered on the album page]
Camp des César.- Le Novembre 1930. Suzy, Berdjoui et Chaké. [written with red ink typewriter on cardboard and adhered on the album page]
Camp César-8/4/30 Aram. [written with red ink typewriter on cardboard and adhered on the album page]
A Camp César.- 26 Janv.1930 Ma soeur Suzy. [written with red ink typewriter on cardboard and adhered on the album page]
A Camp César.- 26 Janv.1930 Suzy et moi. [written with red ink typewriter on cardboard and adhered on the album page]
A Camp César.- 26 Janv.1930 Ma cousine Peggy. [written with red ink typewriter on cardboard and adhered on the album page]"
0069fa-al004-010-011_DS01,"Eglise Arménienne, Alexandrie.- 16 Févr. 1930. Céremonies du mariage de Suzy. [written with red ink typewriter on cardboard and adhered on the album page]
Camp César.- 11 Avril 1930 Après l'accident d'Aram. Mon frère & moi. [written with red ink typewriter on cardboard and adhered on the album page]
Camp César.- 11 Avril 1930 Mon frère Aram. [written with red ink typewriter on cardboard and adhered on the album page]
Camp César.- 11 Avril 1930 Grand père & Aram. [written with red ink typewriter on cardboard and adhered on the album page]"
0069fa-al004-012-013_DS01,"Camp César.- 29 Avril 1930. Berjouhi au salon. [written with red ink typewriter on cardboard and adhered on the album page]
Camp César.- 11 Avril 1930 Chaké et Vahé. [written with red ink typewriter on cardboard and adhered on the album page]
Camp César.- 29 Avril 1930. Berjouhi au balcon. [written with red ink typewriter on cardboard and adhered on the album page]
A l'Institution Haigaznian .- 3 Juin 1930 Concours Sportif de fin d'année. [written with red ink typewriter on cardboard and adhered on the album page]"
0069fa-al004-014-015_DS01,"Campagne des Frères.- 15 Juin 1930. Concours annual Sportif. [written with red ink typewriter on cardboard and adhered on the album page]
Camp César-15/6/30 Berdjouhi. [written with red ink typewriter on cardboard and adhered on the album page]
Eglise Arménienne, Alexandrie.- 16 Févr. 1930. Céremonies du mariage de Suzy. [written with red ink typewriter on cardboard and adhered on the album page]"
0069fa-al004-016-017_DS01,"A alexandrie.- 20/3/30 Ma soeur Suzy.  [written with red ink typewriter on cardboard and adhered on the album page]
A Hélouan.- 27 Février 1930. Suzy et Dikran. [written with red ink typewriter on cardboard and adhered on the album page]
A alexandrie.- 20/3/30 Ma soeur Suzy.  [written with red ink typewriter on cardboard and adhered on the album page]
A Venise.- 7 Août 1930. Place des Colombes. Mon père. [written with red ink typewriter on cardboard and adhered on the album page]
A Venise.- 8 Août 1930. Père Sirounian au couvent St. Lazare. [written with red ink typewriter on cardboard and adhered on the album page]
A Venise.- 8 Août 1930. Père Sirounian & mon père. [written with red ink typewriter on cardboard and adhered on the album page]"
0069fa-al004-018-019_DS01,"A Venise.- 7 Août 1930. Vues génerales. [written with red ink typewriter on cardboard and adhered on the album page]
A Vienne.- 15 Août 1930. Mon père en Autocar. [written with red ink typewriter on cardboard and adhered on the album page]
A Vienne.- 14 Août 1930. Mon père. [written with red ink typewriter on cardboard and adhered on the album page]
A Nouzha.- 29 Avril 1930. Mes parents, frères, soeurs et famille Markarian. [written with red ink typewriter on cardboard and adhered on the album page]
A Nouzha.- 29 Avril 1930. Mes parents, Dikran, Suzy et Vahé. [written with red ink typewriter on cardboard and adhered on the album page]
Au bureau Ventura, Leon & Co.-9 Mai 1930. Mr.Ventura, Moussa, Domenico et moi. [written with red ink typewriter on cardboard and adhered on the album page]
Au bureau Ventura, Leon & Co.-9 Mai 1930. Bartholomé, Moussa, Domenico, moi et le domestique. [written with red ink typewriter on cardboard and adhered on the album page]"
0069fa-al004-020-021_DS01,"A Ibrahimieh.- 9 Mai 1930. Peggy & Suzy au fumoir. [written with red ink typewriter on cardboard and adhered on the album page]
A Ibrahimieh.- 9 Mai 1930. Suzy au Piano. [written with red ink typewriter on cardboard and adhered on the album page]
A Ibrahimieh.- 9 Mai 1930. Peggy & Suzy. [written with red ink typewriter on cardboard and adhered on the album page]
Camp César.- 15 Juin 1930 Berdjouhi et Chaké. [written with red ink typewriter on cardboard and adhered on the album page]
Stade de Chatby.- 22 Juin 1930. Equipes ""Homentmen"" Caire & Alexandrie. [written with red ink typewriter on cardboard and adhered on the album page]
Stade de Chatby.- 22 Juin 1930. Un partie des invités. [written with red ink typewriter on cardboard and adhered on the album page]"
0069fa-al004-022-023_DS01,"Sur le pont du s/s Citta Di Bari- 27 Juillet 1930. Jour de départ de mon père. [written with red ink typewriter on cardboard and adhered on the album page]
Sur le pont du s/s Citta Di Bari- 27 Juillet 1930. Berdjouhi. [written with red ink typewriter on cardboard and adhered on the album page]
Au trou du diable.- 27 Juillet 1930. Mes frères et soeurs. [written with red ink typewriter on cardboard and adhered on the album page]
A Sidi-Bishr-27/7/30. Membres du Homenetmen au pic-nic. [written with red ink typewriter on cardboard and adhered on the album page]
"
0069fa-al004-024-025_DS01,"Au trou du diable.- 27 Juillet 1930. Berdjouhi et Dikran. [written with red ink typewriter on cardboard and adhered on the album page]
A Vienne.- 15 Août 1930. Célèbre monument. [written with red ink typewriter on cardboard and adhered on the album page]
A Lausanne.- 23 Août 1930. Mr. Gazarian. [written with red ink typewriter on cardboard and adhered on the album page]
A Lausanne.- 23/8/30. Vue générale. [written with red ink typewriter on cardboard and adhered on the album page]"
0069fa-al004-026-027_DS01,"A Génève.- 27 Août 1930. La plage. [written with red ink typewriter on cardboard and adhered on the album page]
A Génève.- 27/9/30. La plage. [written with red ink typewriter on cardboard and adhered on the album page]
Sur le Lido.- 18 Août 1930. Un Yacht. [written with red ink typewriter on cardboard and adhered on the album page]
A Athènes.- 3 Août 1930. Mon père et des compagnons de voyage visitant les antiquitées. [written with red ink typewriter on cardboard and adhered on the album page]
A Corenze.- 4 Août 1930. Le bateau traversant le Canal. [written with red ink typewriter on cardboard and adhered on the album page]
A Bari.- 5 Août 1930. Des connaissances à mon père. [written with red ink typewriter on cardboard and adhered on the album page]"
0069fa-al004-028-029_DS01,"A Trieste.- 6 Août 1930. Vue génerale du chateau ""Miramare"". [written with red ink typewriter on cardboard and adhered on the album page]
A Trieste.- 6 Août 1930. Un groupe de fascistes. [written with red ink typewriter on cardboard and adhered on the album page]
Au pré Fleuri.- 28 Août 1930 Une nuit à Séville. [written with red ink typewriter on cardboard and adhered on the album page]"
0069fa-al004-030-031_DS01,"A Ramleh Beda; 24/8/30. Membres du Homenetmen au pic-nic.  [written with red ink typewriter on cardboard and adhered on the album page]
A Schutz.-24/8/30. Jacques.  [written with red ink typewriter on cardboard and adhered on the album page]
A Glyménopoules.- 24 Août 1930. Des amis & moi à la plage.  [written with red ink typewriter on cardboard and adhered on the album page]
A Glyménopoules.- 24 Août 1930. Quelques amis à la plage.  [written with red ink typewriter on cardboard and adhered on the album page]
A Glyménopoules.- 7 Sept 1930. Des amis à la plage.  [written with red ink typewriter on cardboard and adhered on the album page]
A Glyménopoules.- 7/9/1930. Peggy, Takouhi et Berdjouhi.  [written with red ink typewriter on cardboard and adhered on the album page]
A Glyménopoules.- 7/9/1930. Berdjouhi, Akram & moi. [written with red ink typewriter on cardboard and adhered on the album page]"
0069fa-al004-032-033_DS01,"A Glyménopoules.- 7 Sept 1930. Berdjouhi, Aram & moi. [written with red ink typewriter on cardboard and adhered on the album page]
A Glyménopoules.- 7/9/1930. Aram, des amis & moi. [written with red ink typewriter on cardboard and adhered on the album page]
A Glyménopoules.- 7/9/1930. Berdjouhi. [written with red ink typewriter on cardboard and adhered on the album page]
A Glyménopoules.- 7/9/1930. Berdjouhi et moi. [written with red ink typewriter on cardboard and adhered on the album page]"
0069fa-al004-034-035_DS01,"A Ramleh Beda.- 25 Semptembre 1930. Concours de Natation du H.M.E.M. [written with red ink typewriter on cardboard and adhered on the album page]
Sidi-Bishr.- 13/4/31.  La famille Aladjadjian, grand père et Aram. [written with red ink typewriter on cardboard and adhered on the album page]
Sidi-Bishr.- 13/4/31. Berdjouhi, Chaké, Carlo, Sa femme et Ternamian. [written with red ink typewriter on cardboard and adhered on the album page]
Sidi-Bishr.- 13 Avril 1931. La famille Aladjadjian, mon grand père et moi. [written with red ink typewriter on cardboard and adhered on the album page] 
Sidi-Bishr.- 13/4/31. Berdjouhi. [written with red ink typewriter on cardboard and adhered on the album page]
Sidi-Bishr.- 13 Avril 1931. La famille Aladjadjian, grand père, Aram et moi. [written with red ink typewriter on cardboard and adhered on the album page] "
0069fa-al004-036-037_DS01,"Sidi-Bishr.- 13 Avril 1931. Groupe de membres du Homenetmen. [written with red ink typewriter on cardboard and adhered on the album page] 
Sidi-Bishr.- 13 Avril 1931. Durant le dejeuner. Aram, Garbisse et moi. [written with red ink typewriter on cardboard and adhered on the album page] 
Sidi-Bishr.- 13 Avril 1931. Membres du Homenetmen tirant la corde. [written with red ink typewriter on cardboard and adhered on the album page] 
Promenade d'Aboukir.- 16 Nov. 1930. Les invites à l'apres-midi dansant chez les Alexanian. [written with red ink typewriter on cardboard and adhered on the album page] 
Camp César.- 16/11/30 mes soeurs Suzy & Chaké. [written with red ink typewriter on cardboard and adhered on the album page] "
0069fa-al004-038_DS01,"Camp César.- 16/11/30 Suzy et moi. [written with red ink typewriter on cardboard and adhered on the album page] 
Stade Municipale.- 5 Mars 1931. Course de 1500 mètres. Aram et les concurrents au départ.  [written with red ink typewriter on cardboard and adhered on the album page] 
Camp César.- 16/11/30 Chaké. [written with red ink typewriter on cardboard and adhered on the album page] "
0069fa-al005-001_DS01,"١٠, ٥, ٥٦ [written with black ink on the cardboard] Wien - Im [garterl] - Juli 1927 [written with white ink on the cardboard]
١٠, ٥, ٥٦ [written with black ink on the cardboard] Im Vorzimmer Juli 1927 [written with white ink on the cardboard]
١٠, ٥, ٥٦ [written with black ink on the cardboard] Im Hofe Juli 1927 [written with white ink on the cardboard]"
0069fa-al005-002-003_DS01,"Im Hofe Juli 1927 [written with white ink on the cardboard]
Beim Fürkenschanzpark 4/8/ 1927 [written with white ink on the cardboard]
Fürkenschanzpark 4/8 1927 [written with white ink on the cardboard]
Am Henberg 6/9 1927 [written with white ink on the cardboard]
Fukeram 12/7.26 [written with white ink on the cardboard]
Fukeram 16/9.26 [written with white ink on the cardboard]
Fukeram 5/11.26 [written with white ink on the cardboard]
[Rologhiro] [signed on the negative] Acre 29/8 1926 [written with white ink on the cardboard]
Acre 29/10 1926 [written with white ink on the cardboard]"
0069fa-al005-004-005_DS01,"Acre 4/11 1926 [written with white ink on the cardboard]
Acre 30/8  1926 [written with white ink on the cardboard]
Acre 4/11. 26 [written with white ink on the cardboard]
Acre 30/10. 1926 [written with white ink on the cardboard]
Fulheram 22./4. 27 [written with white ink on the cardboard]"
0069fa-al005-006-007_DS01,"Osman Fulkeram Mai 1927 [written with white ink on the cardboard]
Haifa Am Bakon 1928 [written with white ink on the cardboard]"
0069fa-al005-008-009_DS01,"Am [...] [...] 1929 [written with white ink on the cardboard]
Haifa 1929 [written with white ink on the cardboard]
Am Balkoun 1929 [written with white ink on the cardboard]
gmunden 1929 [written with white ink on the cardboard]
[...] 1930 [written with white ink on the cardboard]
Im Bananengarten 1931 [written with white ink on the cardboard]
1931 [written with white ink on the cardboard]"
0069fa-al005-010-011_DS01,Henberg 6/8 1927 [written with white ink on the cardboard]
0069fa-al005-012-013_DS01,"Henberg 21/8 1927 [written with white ink on the cardboard]
Fürkenschanzpark 10. Sept. 1927 [written with white ink on the cardboard]
Wien Sommer 1929 [written with white ink on the cardboard]
Henberg 1929 [written with white ink on the cardboard]
1929 [written with white ink on the cardboard]
Haifa 1930 [written with white ink on the cardboard]
Im Garterl 1929 [written with white ink on the cardboard]
[...] 1929 [written with white ink on the cardboard]"
0069fa-al005-014_DS01,"1930 [written with white ink on the cardboard]
Im Hofe 1930 [written with white ink on the cardboard]
[...] Fang [written with white ink on the cardboard]
Haifa 1930 [written with white ink on the cardboard]
Acre 1930 [written with white ink on the cardboard]"
0069fa-al006-001_DS01,مدرسة المينا الابتدائية الأمرية، للبنين، ١٩٣٨-١٩٣٩ [written with white ink on the cover] 
0069fa-al006-002-003_DS01,"الاستاذ عبدالعزيز لطفي ناظر المدرسة في المكتبة [written with white ink on the cardboard] 
الاستاذ عبدالعزيز لطفي ناظر المدرسة [written with white ink on the cardboard]
 سليمان عقل [...] [stamped on the cardboard]"
0069fa-al006-004-005_DS01,"حضرات ناظر وموظفي المدرسة  [written with white ink on the cardboard]
 سليمان عقل [...] [stamped on the cardboard]"
0069fa-al006-006-007_DS01,"ألسنة الرابعة فصل أول، من اليمين، الصف الأول: محمد فتحي، عبد القادر محمد [...]، [...]، عبد الله عبد الحواد، يوسف محمد حسن شادي، عبد الفتاح [...]، [...] الصف الثاني: [...]، محمد بدري عبد القادر، حبيب سريال، [...]، محمد علي طه، [...] الصف الثالث: أمير أنيس، [...]، محمد [...] محمود، حسين عبد الحميد علي، عادل [...]، سمير [...] [written with white ink on the cardboard] 
رابعه أول، مارس ١٩٣٩[written on the negative]  سليمان عقل [...] [stamped on the cardboard]"
0069fa-al006-008-009_DS01,"ألسنة الرابعة فصل ثان، من اليمين، الصف الأول: صالح عبدالعزيز، [...]، [...]،منير [...]، ابراهيم ناصف، سعد عاشور، محمد صابر زهري، صلاح [...]، أنور أحمد كامل. الصف الثاني: [...]، وديع ناصيف، [...] رياض كامل، عبدالله [...]، أنور وهبه، حسين فؤاد [...]، أحمد رأفت، محمد جمال طه.   [written with white ink on the cardboard] 
رابعه ثان، مارس ١٩٣٩   [written on the negative]"
0069fa-al006-010-011_DS01,"ألسنة الرابعة فصل ثالث، من اليمين، الصف الأول: سيد حامد سيد، [...]، [...]، فؤاد قدسي، محمود أحمد [...]، محمد إبراهيم شاهين، محمد زكريا إسماعيل، صبحي فهيم، عبد الرحمن أحمد فارس،   . الصف الثاني: عبد الفتاح حلمي، خضري عطالله، محمود زكي [...]، حسني [...]، شاكر توفيق، محمد علي شاهين، [...]، محمد نجيب علي إسماعيل. الصف الثالث: محمود [...]، ممدوح [...]، [...]، [...]   [written with white ink on the cardboard] 
رابعه ثالث، مارس ١٩٣٩   [written on the negative]"
0069fa-al006-012-013_DS01,"ألسنة الرابعة فصل رابع، من اليمين، الصف الأول: محمد يوسف ناجي، ماضي عبد الحميد، علي أحمد [...]، عبد الحميد مهني، حسني عبدالله عمر، وهيب ميخائل، [...]، [...]، وهيب مكسيموس، محمود [...] إبراهيم. الصف الثاني: محمد [...]، أحمد محمود الحسيني، رشدي [...]، أحمد صلاح [...]، [...]، محمد فؤاد [...]، [...]، إبراهيم أبو الفتوح ، عبد الفتاح عبد الحليم، عباس محمد اغا    [written with white ink on the cardboard] 
رابعه رابع، مارس ١٩٣٩   [written on the negative]
 سليمان عقل [...] [stamped on the cardboard]"
0069fa-al006-014-015_DS01,"ألسنة الرابعة فصل خامس. من اليمين. الصف الأول: سامي حلمي، كمال كامل [...]، زغلول [...]، علي جمال [...]، سعيد عبدالمسيح، بطرس سعدالله، محمود سامي [...]، محمد عبد الجواد. الصف الثاني: [...]، [...]، حسن علي خليل، [...]، [...]، [...]، صلاح [...] محمد عبدالله، [....]، سامي محمد جمال [...]، [...] [written with white ink on the cardboard]
رابعه خامس، مارس ١٩٣٩ [signed on the negative]"
0069fa-al006-016-017_DS01,"ألسنة الرابعة فصل سادس. من اليمين. الصف الأول: عبدالله فكري، محمود [...] الحكيم، علي [...]، [...]، محمد حمودي المصري، حكيم [...]، [...] ممتاز،محمد فتحي عبدالحليم. الصف الثاني: وديع صبحي، محمد [...]، منير [...]، محمد يحيى عبدالسلام، [...]، [فكري ارمانيوس]، مصطفى محمد خليفة، [...]، أحمد [...] عطيه. الصف الثالث: حنا مسعد، أحمد مختار، أحمد فؤاد [...]، مكرم ارمانيوس.  [written with white ink on the cardboard]
رابعه سادس، مارس ١٩٣٩ [signed on the negative] "
0069fa-al006-018-019_DS01,"ألسنة الثالثة فصل أول. من اليمين. الصف الأول: محمد كمال عبدالعزيز، عزيز فهمي عبدالمسيح، محمد سالم يونس، [...]، نجيب وهبه، أحمد عبد الرحمان الشريف، فؤاد زغلول، محمد عبد اللطيف، [...]، محمد [...]. الصف الثاني: مصطفى عبد الحميد يوسف، وليم جرجس، مصطفى [...]، مصطفى محمود [...]، منير حنا، محمد [...] عبدالوهاب، عمر يوسف، حنا [...]، فؤاد [...]، [...]،[...]. الصف الثالث: محمود [...]، مصطفى عباس [...]، محمد [...]، نسيم فؤاد [...]، [...]،[...] [written with white ink on the cardboard] 
ثالثة أول، مارس ١٩٣٩ [signed on the negative] "
